vtype,average,above_average,below_average
all,67.45161290322581,7,24
DM_NUMBER_CTOR,11.0,1,0
EI_EXPOSE_REP2,979.0,1,0
INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,93.0,1,0
RI_REDUNDANT_INTERFACES,17.96,3,22
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,240.0,1,0
SF_SWITCH_FALLTHROUGH,226.0,1,0
UC_USELESS_CONDITION,93.0,1,0
