file,unknown,fixed,disappear,unfixed
src/main/java/org/apache/commons/configuration/io/FileHandler.java,3,3,,18
src/main/java/org/apache/commons/configuration/io/FileLocatorUtils.java,152,15,,7
src/main/java/org/apache/commons/configuration/io/VFSFileSystem.java,,,,35
src/main/java/org/apache/commons/configuration/plist/ParseException.java,,,,
src/main/java/org/apache/commons/configuration/plist/PropertyListParser.java,,,,
src/main/java/org/apache/commons/configuration/plist/PropertyListParserTokenManager.java,,,,
src/main/java/org/apache/commons/configuration/plist/SimpleCharStream.java,,,,
src/main/java/org/apache/commons/configuration/plist/Token.java,,,,
src/main/java/org/apache/commons/configuration/plist/TokenMgrError.java,,,,
src/main/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,,,,88
src/main/java/org/apache/commons/configuration/reloading/FileChangedReloadingStrategy.java,,,,11
src/main/java/org/apache/commons/configuration/reloading/VFSFileChangedReloadingStrategy.java,,1,,11
src/main/java/org/apache/commons/configuration/resolver/CatalogResolver.java,,,,76
src/main/java/org/apache/commons/configuration/tree/DefaultConfigurationNode.java,,3,,48
src/main/java/org/apache/commons/configuration/tree/InMemoryNodeModel.java,,,,15
src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationAttributePointer.java,,,,5
src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,,3,,28
src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodePointer.java,1,,,19
src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodePointerFactory.java,,,,5
src/main/java/org/apache/commons/configuration2/AbstractConfiguration.java,,,,40
src/main/java/org/apache/commons/configuration2/AbstractFileConfiguration.java,,1,,23
src/main/java/org/apache/commons/configuration2/AbstractHierarchicalFileConfiguration.java,,1,,7
src/main/java/org/apache/commons/configuration2/BaseHierarchicalConfiguration.java,,1,,55
src/main/java/org/apache/commons/configuration2/CombinedConfiguration.java,,5,,75
src/main/java/org/apache/commons/configuration2/ConfigurationKey.java,,1,,5
src/main/java/org/apache/commons/configuration2/ConfigurationUtils.java,111,6,,64
src/main/java/org/apache/commons/configuration2/DataConfiguration.java,,,,8
src/main/java/org/apache/commons/configuration2/DatabaseConfiguration.java,,12,,105
src/main/java/org/apache/commons/configuration2/DefaultConfigurationBuilder.java,,1,,22
src/main/java/org/apache/commons/configuration2/DefaultFileSystem.java,,,,1
src/main/java/org/apache/commons/configuration2/DynamicCombinedConfiguration.java,,1,,4
src/main/java/org/apache/commons/configuration2/HierarchicalConfiguration.java,,,,24
src/main/java/org/apache/commons/configuration2/INIConfiguration.java,,,,2
src/main/java/org/apache/commons/configuration2/InMemoryConfiguration.java,,2,,24
src/main/java/org/apache/commons/configuration2/JSONConfiguration.java,,1,,
src/main/java/org/apache/commons/configuration2/MultiFileHierarchicalConfiguration.java,,2,,16
src/main/java/org/apache/commons/configuration2/PatternSubtreeConfigurationWrapper.java,,,,3
src/main/java/org/apache/commons/configuration2/PropertiesConfiguration.java,,3,,10
src/main/java/org/apache/commons/configuration2/PropertyConverter.java,,,,35
src/main/java/org/apache/commons/configuration2/SubConfiguration.java,,,,8
src/main/java/org/apache/commons/configuration2/SubnodeConfiguration.java,,,,6
src/main/java/org/apache/commons/configuration2/VFSFileSystem.java,,,,1
src/main/java/org/apache/commons/configuration2/VFSURLStreamHandler.java,,,,
src/main/java/org/apache/commons/configuration2/XMLConfiguration.java,,2,,36
src/main/java/org/apache/commons/configuration2/XMLPropertiesConfiguration.java,,2,,54
src/main/java/org/apache/commons/configuration2/base/DefaultLocatorSupport.java,,,,4
src/main/java/org/apache/commons/configuration2/base/FlatNodeSourceAdapter.java,,,,2
src/main/java/org/apache/commons/configuration2/base/SubConfiguration.java,,,,2
src/main/java/org/apache/commons/configuration2/base/impl/XMLConfigurationSource.java,,,,2
src/main/java/org/apache/commons/configuration2/beanutils/BeanHelper.java,,4,,29
src/main/java/org/apache/commons/configuration2/beanutils/ConfigurationDynaClass.java,,1,,5
src/main/java/org/apache/commons/configuration2/builder/ConfigurationBuilderEvent.java,,1,,18
src/main/java/org/apache/commons/configuration2/builder/ConfigurationBuilderResultCreatedEvent.java,,,,42
src/main/java/org/apache/commons/configuration2/builder/FileBasedConfigurationBuilder.java,,1,,21
src/main/java/org/apache/commons/configuration2/builder/combined/CombinedConfigurationBuilder.java,,1,,21
src/main/java/org/apache/commons/configuration2/builder/combined/MultiFileConfigurationBuilder.java,,1,,21
src/main/java/org/apache/commons/configuration2/builder/combined/MultiFileConfigurationBuilderProvider.java,,,,21
src/main/java/org/apache/commons/configuration2/builder/combined/ReloadingCombinedConfigurationBuilder.java,,1,,21
src/main/java/org/apache/commons/configuration2/combined/CombinedConfiguration.java,,1,,20
src/main/java/org/apache/commons/configuration2/combined/CombinedNodeHandler.java,,,,7
src/main/java/org/apache/commons/configuration2/combined/DynamicCombinedConfiguration.java,,,,3
src/main/java/org/apache/commons/configuration2/convert/PropertyConverter.java,,11,,62
src/main/java/org/apache/commons/configuration2/converter/ByteConverter.java,,,,2
src/main/java/org/apache/commons/configuration2/converter/DoubleConverter.java,,,,2
src/main/java/org/apache/commons/configuration2/converter/FloatConverter.java,,,,2
src/main/java/org/apache/commons/configuration2/converter/IntegerConverter.java,,,,2
src/main/java/org/apache/commons/configuration2/converter/LongConverter.java,,,,2
src/main/java/org/apache/commons/configuration2/converter/ShortConverter.java,,,,2
src/main/java/org/apache/commons/configuration2/event/ConfigurationErrorEvent.java,1,,,3
src/main/java/org/apache/commons/configuration2/event/Event.java,1,1,,21
src/main/java/org/apache/commons/configuration2/expr/ConfigurationNodeHandler.java,,,,7
src/main/java/org/apache/commons/configuration2/expr/xpath/ConfigurationNodePointer.java,,,,32
src/main/java/org/apache/commons/configuration2/expr/xpath/ConfigurationNodePointerFactory.java,,1,,5
src/main/java/org/apache/commons/configuration2/flat/BaseConfiguration.java,,,,2
src/main/java/org/apache/commons/configuration2/fs/DefaultFileSystem.java,44,2,,4
src/main/java/org/apache/commons/configuration2/fs/VFSFileSystem.java,,,,10
src/main/java/org/apache/commons/configuration2/interpol/ConfigurationInterpolator.java,,,,3
src/main/java/org/apache/commons/configuration2/interpol/ExprLookup.java,,2,,41
src/main/java/org/apache/commons/configuration2/io/DefaultFileSystem.java,,1,,3
src/main/java/org/apache/commons/configuration2/io/FileHandler.java,,,,42
src/main/java/org/apache/commons/configuration2/io/FileLocator.java,,1,,3
src/main/java/org/apache/commons/configuration2/io/FileLocatorUtils.java,60,1,,3
src/main/java/org/apache/commons/configuration2/io/VFSFileSystem.java,,3,,87
src/main/java/org/apache/commons/configuration2/json/JSONParser.java,,,,30
src/main/java/org/apache/commons/configuration2/json/JSONParserTokenManager.java,,,,15
src/main/java/org/apache/commons/configuration2/json/ParseException.java,,,,6
src/main/java/org/apache/commons/configuration2/json/SimpleCharStream.java,,,,60
src/main/java/org/apache/commons/configuration2/json/Token.java,,,,9
src/main/java/org/apache/commons/configuration2/json/TokenMgrError.java,,,,3
src/main/java/org/apache/commons/configuration2/plist/Base64.java,,,,8
src/main/java/org/apache/commons/configuration2/plist/ParseException.java,,1,,16
src/main/java/org/apache/commons/configuration2/plist/PropertyListConfiguration.java,,,,8
src/main/java/org/apache/commons/configuration2/plist/PropertyListParser.java,,4,,92
src/main/java/org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,,3,,55
src/main/java/org/apache/commons/configuration2/plist/SimpleCharStream.java,,,,120
src/main/java/org/apache/commons/configuration2/plist/Token.java,,,,24
src/main/java/org/apache/commons/configuration2/plist/TokenMgrError.java,,,,8
src/main/java/org/apache/commons/configuration2/plist/XMLPropertyListConfiguration.java,,10,,78
src/main/java/org/apache/commons/configuration2/reloading/FileChangedReloadingStrategy.java,,1,,8
src/main/java/org/apache/commons/configuration2/reloading/VFSFileChangedReloadingStrategy.java,,,,2
src/main/java/org/apache/commons/configuration2/reloading/VFSFileMonitorReloadingStrategy.java,,,,4
src/main/java/org/apache/commons/configuration2/resolver/CatalogResolver.java,,3,,78
src/main/java/org/apache/commons/configuration2/spring/ConfigurationPropertiesFactoryBean.java,,4,,15
src/main/java/org/apache/commons/configuration2/tree/DefaultConfigurationNode.java,,,,24
src/main/java/org/apache/commons/configuration2/tree/InMemoryNodeModel.java,,4,,42
src/main/java/org/apache/commons/configuration2/tree/xpath/ConfigurationAttributePointer.java,,,,21
src/main/java/org/apache/commons/configuration2/tree/xpath/ConfigurationNodeIteratorBase.java,,,,12
src/main/java/org/apache/commons/configuration2/tree/xpath/ConfigurationNodePointer.java,,,,27
src/main/java/org/apache/commons/configuration2/tree/xpath/ConfigurationNodePointerFactory.java,,1,,21
