method,unknown,fixed,disappear,unfixed
createCast(Lorg/apache/bcel/generic/Type;Lorg/apache/bcel/generic/Type;)Lorg/apache/bcel/generic/Instruction;,,,,3
createCast(Lorg/apache/commons/bcel6/generic/Type;Lorg/apache/commons/bcel6/generic/Type;)Lorg/apache/commons/bcel6/generic/Instruction;,,,,2
createCheckCast(Lorg/apache/bcel/generic/ReferenceType;)Lorg/apache/bcel/generic/CHECKCAST;,,,,3
createCheckCast(Lorg/apache/commons/bcel6/generic/ReferenceType;)Lorg/apache/commons/bcel6/generic/CHECKCAST;,,,,2
createInstanceOf(Lorg/apache/bcel/generic/ReferenceType;)Lorg/apache/bcel/generic/INSTANCEOF;,,,,3
createInstanceOf(Lorg/apache/commons/bcel6/generic/ReferenceType;)Lorg/apache/commons/bcel6/generic/INSTANCEOF;,,,,2
do_verify()Lorg/apache/commons/bcel6/verifier/VerificationResult;,,1,,
equals(Lorg/apache/bcel/generic/Instruction;Lorg/apache/bcel/generic/Instruction;)Z,,2,,2
equals(Lorg/apache/commons/bcel6/generic/Instruction;Lorg/apache/commons/bcel6/generic/Instruction;)Z,,2,,2
findHandle([Lorg/apache/bcel/generic/InstructionHandle;[III)Lorg/apache/bcel/generic/InstructionHandle;,,,,1
findHandle([Lorg/apache/commons/bcel6/generic/InstructionHandle;[III)Lorg/apache/commons/bcel6/generic/InstructionHandle;,,,,2
getAnnotationAttributes(Lorg/apache/bcel/generic/ConstantPoolGen;[Lorg/apache/bcel/generic/AnnotationEntryGen;)[Lorg/apache/bcel/classfile/Attribute;,,,,3
getAnnotationAttributes(Lorg/apache/commons/bcel6/generic/ConstantPoolGen;[Lorg/apache/commons/bcel6/generic/AnnotationEntryGen;)[Lorg/apache/commons/bcel6/classfile/Attribute;,,,,2
getAnnotationEntries()[Lorg/apache/bcel/classfile/AnnotationEntry;,,2,,12
getAnnotationEntries()[Lorg/apache/commons/bcel6/classfile/AnnotationEntry;,,,,8
getAttributes()[Lorg/apache/bcel/classfile/Attribute;,,,,9
getAttributes()[Lorg/apache/commons/bcel6/classfile/Attribute;,,,,6
getBase()Ljava/lang/String;,,,,2
getBootstrapArguments()[I,,1,,5
getBootstrapMethods()[Lorg/apache/bcel/classfile/BootstrapMethod;,,1,,3
getBootstrapMethods()[Lorg/apache/commons/bcel6/classfile/BootstrapMethod;,,,,2
getBranchHandle(Lorg/apache/bcel/generic/BranchInstruction;)Lorg/apache/bcel/generic/BranchHandle;,,,,1
getBranchHandle(Lorg/apache/commons/bcel6/generic/BranchInstruction;)Lorg/apache/commons/bcel6/generic/BranchHandle;,,,,2
getBytes()[B,,,,15
getClasses()[I,,,,2
getCode()[B,,,,5
getConstantPool()[Lorg/apache/bcel/classfile/Constant;,,1,,3
getConstantPool()[Lorg/apache/commons/bcel6/classfile/Constant;,,,,2
getConstantValue(Lorg/apache/bcel/classfile/ConstantPool;)Ljava/lang/Object;,,,,6
getConstantValue(Lorg/apache/commons/bcel6/classfile/ConstantPool;)Ljava/lang/Object;,,,,4
getData()Ljava/lang/String;,,,,5
getElementValuesArray()[Lorg/apache/bcel/classfile/ElementValue;,,1,,3
getElementValuesArray()[Lorg/apache/commons/bcel6/classfile/ElementValue;,,,,2
getExceptionIndexTable()[I,,1,,5
getExceptionTable()[Lorg/apache/bcel/classfile/CodeException;,,1,,3
getExceptionTable()[Lorg/apache/commons/bcel6/classfile/CodeException;,,,,2
getExportsTable()[Lorg/apache/bcel/classfile/ModuleExports;,,1,,2
getFields()[Lorg/apache/bcel/classfile/Field;,,,,3
getFields()[Lorg/apache/commons/bcel6/classfile/Field;,,,,2
getIndices()[I,,,,5
getInnerClasses()[Lorg/apache/bcel/classfile/InnerClass;,,1,,3
getInnerClasses()[Lorg/apache/commons/bcel6/classfile/InnerClass;,,,,2
getInputStream(Ljava/lang/String;Ljava/lang/String;)Ljava/io/InputStream;,,,,5
getInstructionPositions()[I,,1,,5
getInterfaceIndices()[I,,,,5
getInterfaceNames()[Ljava/lang/String;,,1,,5
getLineNumberTable()[Lorg/apache/bcel/classfile/LineNumber;,,1,,3
getLineNumberTable()[Lorg/apache/commons/bcel6/classfile/LineNumber;,,,,2
getLocalVariableTable()[Lorg/apache/bcel/classfile/LocalVariable;,,1,,3
getLocalVariableTable()[Lorg/apache/commons/bcel6/classfile/LocalVariable;,,,,2
getLocalVariableTypeTable()[Lorg/apache/bcel/classfile/LocalVariable;,,1,,3
getLocalVariableTypeTable()[Lorg/apache/commons/bcel6/classfile/LocalVariable;,,,,2
getLocalVariablesInfo(I)Lorg/apache/bcel/verifier/statics/LocalVariablesInfo;,,,,3
getLocalVariablesInfo(I)Lorg/apache/commons/bcel6/verifier/statics/LocalVariablesInfo;,,,,2
getMatchs()[I,,,,5
getMethod()Lorg/apache/commons/bcel6/classfile/Method;,1,,,
getMethods()[Lorg/apache/bcel/classfile/Method;,,,,3
getMethods()[Lorg/apache/commons/bcel6/classfile/Method;,,,,2
getOpensTable()[Lorg/apache/bcel/classfile/ModuleOpens;,,1,,2
getPackageIndexTable()[I,,1,,2
getParameterAnnotationAttributes(Lorg/apache/bcel/generic/ConstantPoolGen;[Ljava/util/List;)[Lorg/apache/bcel/classfile/Attribute;,,,,3
getParameterAnnotationAttributes(Lorg/apache/commons/bcel6/generic/ConstantPoolGen;[Ljava/util/List;)[Lorg/apache/commons/bcel6/classfile/Attribute;,,,,2
getParameterAnnotationEntries()[Lorg/apache/bcel/classfile/ParameterAnnotationEntry;,,1,,6
getParameterAnnotationEntries()[Lorg/apache/commons/bcel6/classfile/ParameterAnnotationEntry;,,,,4
getParameterAnnotationTable()[Lorg/apache/bcel/classfile/ParameterAnnotationEntry;,,1,,3
getParameterAnnotationTable()[Lorg/apache/commons/bcel6/classfile/ParameterAnnotationEntry;,,,,2
getParameters()[Lorg/apache/bcel/classfile/MethodParameter;,,,,3
getParameters()[Lorg/apache/commons/bcel6/classfile/MethodParameter;,,,,2
getProvidesTable()[Lorg/apache/bcel/classfile/ModuleProvides;,,1,,2
getRequiresTable()[Lorg/apache/bcel/classfile/ModuleRequires;,,1,,2
getSourceLine(I)I,,,,3
getStackMap()[Lorg/apache/bcel/classfile/StackMapEntry;,,,,3
getStackMap()[Lorg/apache/commons/bcel6/classfile/StackMapEntry;,,,,2
getTargets()[Lorg/apache/bcel/generic/InstructionHandle;,,,,6
getTargets()[Lorg/apache/commons/bcel6/generic/InstructionHandle;,,,,4
getTypesOfLocals()[Lorg/apache/bcel/classfile/StackMapType;,,1,,3
getTypesOfLocals()[Lorg/apache/commons/bcel6/classfile/StackMapType;,,,,2
getTypesOfStackItems()[Lorg/apache/bcel/classfile/StackMapType;,,1,,3
getTypesOfStackItems()[Lorg/apache/commons/bcel6/classfile/StackMapType;,,,,2
getValue()Ljava/lang/Number;,,,,10
getValue(Lorg/apache/bcel/generic/ConstantPoolGen;)Ljava/lang/Number;,,,,3
getValue(Lorg/apache/bcel/generic/ConstantPoolGen;)Ljava/lang/Object;,,,,3
getValue(Lorg/apache/commons/bcel6/generic/ConstantPoolGen;)Ljava/lang/Number;,,,,2
getValue(Lorg/apache/commons/bcel6/generic/ConstantPoolGen;)Ljava/lang/Object;,,,,2
jbInit()V,,,,5
main([Ljava/lang/String;)V,,,,5
matchIdent(Lorg/apache/bcel/classfile/Signature$MyByteArrayInputStream;Ljava/lang/StringBuilder;)V,,,,3
matchIdent(Lorg/apache/commons/bcel6/classfile/Signature$MyByteArrayInputStream;Ljava/lang/StringBuilder;)V,,,,2
parse()Lorg/apache/bcel/classfile/JavaClass;,,1,,
parse()Lorg/apache/commons/bcel6/classfile/JavaClass;,,,,2
printFlags(ILorg/apache/bcel/util/BCELifier$FLAGS;)Ljava/lang/String;,,,,3
printFlags(ILorg/apache/commons/bcel6/util/BCELifier$FLAGS;)Ljava/lang/String;,,,,2
readAttribute(Ljava/io/DataInput;Lorg/apache/bcel/classfile/ConstantPool;)Lorg/apache/bcel/classfile/Attribute;,,,,1
readAttribute(Ljava/io/DataInput;Lorg/apache/commons/bcel6/classfile/ConstantPool;)Lorg/apache/commons/bcel6/classfile/Attribute;,,,,2
setAnnotationTable([Lorg/apache/bcel/classfile/AnnotationEntry;)V,,1,,3
setAnnotationTable([Lorg/apache/commons/bcel6/classfile/AnnotationEntry;)V,,,,2
setArgumentNames([Ljava/lang/String;)V,,1,,5
setArgumentTypes([Lorg/apache/bcel/generic/Type;)V,,1,,3
setArgumentTypes([Lorg/apache/commons/bcel6/generic/Type;)V,,,,2
setAttributes([Lorg/apache/bcel/classfile/Attribute;)V,,,,6
setAttributes([Lorg/apache/commons/bcel6/classfile/Attribute;)V,,,,4
setBootstrapArguments([I)V,,1,,5
setBootstrapMethods([Lorg/apache/bcel/classfile/BootstrapMethod;)V,,1,,3
setBootstrapMethods([Lorg/apache/commons/bcel6/classfile/BootstrapMethod;)V,,,,2
setBytes([B)V,,,,15
setConstantPool([Lorg/apache/bcel/classfile/Constant;)V,,1,,3
setConstantPool([Lorg/apache/commons/bcel6/classfile/Constant;)V,,,,2
setFields([Lorg/apache/bcel/classfile/Field;)V,,,,3
setFields([Lorg/apache/commons/bcel6/classfile/Field;)V,,,,2
setInitValue(D)V,,,,5
setInitValue(F)V,,,,5
setInterfaceNames([Ljava/lang/String;)V,,1,,5
setInterfaces([I)V,,,,5
setLineNumberTable([Lorg/apache/bcel/classfile/LineNumber;)V,,1,,3
setLineNumberTable([Lorg/apache/commons/bcel6/classfile/LineNumber;)V,,,,2
setLocalVariableTable([Lorg/apache/bcel/classfile/LocalVariable;)V,,2,,6
setLocalVariableTable([Lorg/apache/commons/bcel6/classfile/LocalVariable;)V,,,,4
setMethods([Lorg/apache/bcel/classfile/Method;)V,,,,3
setMethods([Lorg/apache/commons/bcel6/classfile/Method;)V,,,,2
setParameterAnnotationTable([Lorg/apache/bcel/classfile/ParameterAnnotationEntry;)V,,1,,3
setParameterAnnotationTable([Lorg/apache/commons/bcel6/classfile/ParameterAnnotationEntry;)V,,,,2
setParameters([Lorg/apache/bcel/classfile/MethodParameter;)V,,,,3
setParameters([Lorg/apache/commons/bcel6/classfile/MethodParameter;)V,,,,2
setPositions(Z)V,,,,4
setStackMap([Lorg/apache/bcel/classfile/StackMapEntry;)V,,,,3
setStackMap([Lorg/apache/commons/bcel6/classfile/StackMapEntry;)V,,,,2
signatureToString(Ljava/lang/String;Z)Ljava/lang/String;,,,,2
sort(II)V,,,,3
update(Ljava/lang/String;)V,,,,5
updateBranchTargets()V,,,,5
visitAllocationInstruction(Lorg/apache/bcel/generic/AllocationInstruction;)V,,,,6
visitAllocationInstruction(Lorg/apache/commons/bcel6/generic/AllocationInstruction;)V,,,,4
visitBranchInstruction(Lorg/apache/bcel/generic/BranchInstruction;)V,,,,3
visitBranchInstruction(Lorg/apache/commons/bcel6/generic/BranchInstruction;)V,,,,2
visitField(Lorg/apache/bcel/classfile/Field;)V,,,,3
visitField(Lorg/apache/commons/bcel6/classfile/Field;)V,,,,2
visitGETFIELD(Lorg/apache/bcel/generic/GETFIELD;)V,,,,3
visitGETFIELD(Lorg/apache/commons/bcel6/generic/GETFIELD;)V,,,,2
visitINVOKEINTERFACE(Lorg/apache/bcel/generic/INVOKEINTERFACE;)V,,,,3
visitINVOKEINTERFACE(Lorg/apache/commons/bcel6/generic/INVOKEINTERFACE;)V,,,,2
visitINVOKESPECIAL(Lorg/apache/commons/bcel6/generic/INVOKESPECIAL;)V,,1,,
visitLocalVariableInstruction(Lorg/apache/bcel/generic/LocalVariableInstruction;)V,,,,3
visitLocalVariableInstruction(Lorg/apache/commons/bcel6/generic/LocalVariableInstruction;)V,,,,2
visitMethod(Lorg/apache/bcel/classfile/Method;)V,,,,3
visitMethod(Lorg/apache/commons/bcel6/classfile/Method;)V,,,,2
writeMainHTML(Lorg/apache/bcel/util/AttributeHTML;)V,,,,3
writeMainHTML(Lorg/apache/commons/bcel6/util/AttributeHTML;)V,,,,2
