,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
Multithreaded correctness,JLM_JSR166_UTILCONCURRENT_MONITORENTER,170.0,55.0,93.33333333333333,55.0,3.0,780.0,1.0,377.5,348.5,6.0
Multithreaded correctness,RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED,nan,nan,nan,nan,nan,1518.0,1.0,407.0,208.0,14.0
Multithreaded correctness,STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,nan,nan,nan,nan,nan,1518.0,0.0,160.7,34.0,19.0
Multithreaded correctness,WL_USING_GETCLASS_RATHER_THAN_CLASS_LITERAL,291.0,255.0,273.0,273.0,2.0,286.0,0.0,53.5,7.0,5.0
PERFORMANCE,DM_FP_NUMBER_CTOR,1475.0,1.0,379.72727272727275,249.0,11.0,1518.0,0.0,275.5705882352941,116.0,161.0
PERFORMANCE,DM_NUMBER_CTOR,249.0,1.0,98.82352941176471,13.0,17.0,1518.0,0.0,192.2373540856031,116.0,241.0
PERFORMANCE,DM_STRING_CTOR,440.0,440.0,440.0,440.0,1.0,20.0,0.0,7.0,1.0,4.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,441.0,441.0,441.0,441.0,1.0,1518.0,0.0,246.28,60.0,24.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,291.0,5.0,144.75,141.5,4.0,1518.0,0.0,274.0,102.5,17.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,1825.0,5.0,820.75,293.5,16.0,2133.0,0.0,385.5179063360882,210.0,340.0
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,441.0,0.0,299.75,379.0,3.0,599.0,0.0,118.25714285714285,20.0,33.0
PERFORMANCE,URF_UNREAD_FIELD,1.0,1.0,1.0,1.0,2.0,2133.0,0.0,443.0612244897959,210.0,47.0
PERFORMANCE,UUF_UNUSED_FIELD,441.0,441.0,441.0,441.0,1.0,599.0,0.0,114.25,17.5,15.0
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,289.0,26.0,180.66666666666666,227.0,3.0,286.0,0.0,67.16666666666667,27.0,11.0
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,199.0,116.0,157.5,157.5,14.0,2133.0,0.0,244.08510638297872,116.0,226.0
