,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
14,93.0,93.0,93.0,93.0,1.0,26.0
17,240.0,226.0,233.0,233.0,2.0,89.0
18,979.0,11.0,495.0,495.0,2.0,51.0
19,nan,nan,nan,nan,nan,298.0
20,196.0,1.0,17.96,1.0,25.0,347.0
7,93.0,93.0,93.0,93.0,1.0,11.0
