method,unknown,fixed,disappear,unfixed
newDatagram(Ljava/net/DatagramPacket;[B)Ljava/net/DatagramPacket;,,,,2
newStringUtf8([B)Ljava/lang/String;,,,,18
open(Lorg/apache/commons/net/tftp/TFTPClient;)V,,,,2
parseADATReply(Ljava/lang/String;)[B,,1,,18
parseArticlePointer(Ljava/lang/String;Lorg/apache/commons/net/nntp/ArticleInfo;)V,,,,1
parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,,9,,27
parseStatus(Ljava/lang/String;)Lorg/apache/commons/net/pop3/POP3MessageInfo;,,,,1
parseUnixList(Lorg/apache/commons/net/ftp/FTPFile;Ljava/lang/String;)Z,,4,,34
performSSLNegotiation()V,,3,,57
processChar(I)Z,,,,1
query(ZLjava/lang/String;)Ljava/lang/String;,,,,11
read()I,,,,38
read(Z)I,,,,1
readStream(Ljava/io/InputStream;Ljava/lang/String;)V,,,,11
receive(ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/apache/commons/net/tftp/TFTPClient;)Z,,,,6
rexec(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)V,,,,11
run()V,2,,,43
scanForClasses(ILjava/io/File;Ljava/util/Map;Z)V,,1,,
send(ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/apache/commons/net/tftp/TFTPClient;)Z,,,,6
sendFile(Ljava/lang/String;ILjava/io/InputStream;Ljava/net/InetAddress;I)V,,2,,16
setAddress(Ljava/net/InetAddress;)V,1,,,3
setData([BII)V,1,,,3
setPrecision(Ljava/text/SimpleDateFormat;Ljava/util/Calendar;)V,,1,,
setTimestamp(Ljava/util/Calendar;)V,1,,,3
sslNegotiation()V,,5,,17
startSubnegotiationLocal()[I,,4,,52
startSubnegotiationRemote()[I,,5,,63
status(Ljava/lang/String;[Ljava/lang/String;)Z,,1,,1
thread(Ljava/lang/Iterable;)Lorg/apache/commons/net/nntp/Threadable;,,,,27
toDateString()Ljava/lang/String;,,2,,
toUTCString()Ljava/lang/String;,,2,,
tunnelHandshake(Ljava/lang/String;ILjava/io/InputStream;Ljava/io/OutputStream;)V,,1,,11
