vtype,average,median,density
BC_UNCONFIRMED_CAST,6.833333333333333,4.0,0.03333333333333333
CN_IDIOM_NO_SUPER_CALL,0.0,0.0,0.08333333333333333
DM_EXIT,0.0,0.0,0.25
DM_STRING_TOSTRING,9.0,9.0,0.5
EI_EXPOSE_REP,277.0,277.0,0.09465020576131687
EI_EXPOSE_REP2,277.0,277.0,0.09302325581395349
MS_MUTABLE_ARRAY,2.0,2.0,0.5
MS_OOI_PKGPROTECT,0.0,0.0,0.011494252873563218
MS_PKGPROTECT,8.571428571428571,8.5,0.42424242424242425
NP_NULL_PARAM_DEREF_NONVIRTUAL,0.0,0.0,0.5
OS_OPEN_STREAM,0.0,0.0,0.25
RI_REDUNDANT_INTERFACES,3.0,3.0,0.3333333333333333
SA_FIELD_DOUBLE_ASSIGNMENT,0.0,0.0,0.5
SIC_INNER_SHOULD_BE_STATIC_ANON,15.0,15.0,0.16666666666666666
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2.0,2.0,0.05
SE_BAD_FIELD,0.0
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,0.0
LI_LAZY_INIT_STATIC,0.0
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,0.0
DM_FP_NUMBER_CTOR,0.0
ISC_INSTANTIATE_STATIC_CLASS,0.0
DE_MIGHT_IGNORE,0.0
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,0.0
QF_QUESTIONABLE_FOR_LOOP,0.0
DB_DUPLICATE_SWITCH_CLAUSES,0.0
BIT_SIGNED_CHECK,0.0
DM_DEFAULT_ENCODING,0.0
PZLA_PREFER_ZERO_LENGTH_ARRAYS,0.0
UCF_USELESS_CONTROL_FLOW,0.0
SS_SHOULD_BE_STATIC,0.0
DLS_DEAD_LOCAL_STORE,0.0
DM_GC,0.0
NM_CLASS_NOT_EXCEPTION,0.0
SF_SWITCH_NO_DEFAULT,0.0
IM_AVERAGE_COMPUTATION_COULD_OVERFLOW,0.0
NP_LOAD_OF_KNOWN_NULL_VALUE,0.0
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,0.0
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,0.0
SF_SWITCH_FALLTHROUGH,0.0
NM_METHOD_NAMING_CONVENTION,0.0
