category,average,median,density
BAD_PRACTICE,238.07142857142858,318.0,0.14893617021276595
CORRECTNESS,79.5,0.0,0.25
DODGY_CODE,256.0,319.0,0.06976744186046512
MALICIOUS_CODE,264.625,257.0,0.25
Multithreaded correctness,212.0,263.0,0.23076923076923078
PERFORMANCE,135.0,113.0,0.3157894736842105
SECURITY,289.5681818181818,326.0,0.14864864864864866
I18N,0.0
