category,average,median,density
BAD_PRACTICE,277.1467889908257,77.0,0.10430622009569378
CORRECTNESS,142.0,142.0,0.4
DODGY_CODE,226.21428571428572,83.0,0.1848184818481848
I18N,4.0,4.0,0.10526315789473684
MALICIOUS_CODE,0.0,0.0,0.4
Multithreaded correctness,21.732142857142858,7.0,0.2204724409448819
PERFORMANCE,452.4193548387097,222.0,0.15656565656565657
