category,average,median,density
BAD_PRACTICE,0.0,0.0,0.04285714285714286
CORRECTNESS,0.0,0.0,0.5
DODGY_CODE,4.8,2.5,0.03184713375796178
MALICIOUS_CODE,143.25882352941176,277.0,0.13302034428794993
PERFORMANCE,13.0,11.0,0.046875
Multithreaded correctness,0.0
I18N,0.0
