C,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,2,9,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,4f4069a2f4ef7c379abc648b1c42dcd71c239ef7,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,351,351,2b45d1e9b1e119259f55c8e24e7eb5ecb7e718f6,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,fixed
D,CI_CONFUSED_INHERITANCE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,2df4331719594c4cbad6cff610c54f30cb20a0cb,src/main/java/org/apache/commons/fileupload/util/mime/Base64Decoder.java,-1,-1,21f303464545dfb9693a368ec227e579eea1375f,src/main/java/org/apache/commons/fileupload/util/mime/Base64Decoder.java,NO_METHOD,padding,fixed
I,DM_CONVERT_CASE,3,20,commons-fileupload,53b10a93934dff4331a40cdbfffc1928bcef4ff5,684984971e95ac0dff142934323d02df77168126,src/java/org/apache/commons/fileupload/FileUploadBase.java,453,453,854c658ecfb665c8483abc5da4b2c86af9209c8a,src/java/org/apache/commons/fileupload/FileUploadBase.java,parseHeaders(Ljava/lang/String;)Ljava/util/Map;,NO_FIELD,fixed
B,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,5c2302bbf3859aabf3a719285237f6d0773612b2,190a63505aa28c33d540f2bfd1ab778aa89e2a16,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,406,406,25a6612b77692c0c2bb4a22c796b0fd8054331d1,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,write(Ljava/io/File;)V,NO_FIELD,fixed
I,DM_DEFAULT_ENCODING,1,19,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,5cfdf5d260f0496de1c1bafe417494b212ab6c79,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,359,359,3095f8726304fa370ea336063a487f1292a9d990,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,getString()Ljava/lang/String;,NO_FIELD,fixed
B,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,032425f8e838f5e7f5044cf1152b2f1d3e541993,774ef160d591b579f703c694002e080f99bcd28b,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,664,664,02f6b2c4ef9aebf9cf8e55de8b90e73430b69385,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,readObject(Ljava/io/ObjectInputStream;)V,NO_FIELD,fixed
V,EI_EXPOSE_REP,2,18,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,1ac8c617896b5dd0e1900dbe3ffd4cf165c6ad1b,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,308,308,1c732d7ed34fa025327eeb6a2f3b7a6647d408a7,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,get()[B,cachedContent,fixed
B,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,b5f003d88222058067de8e131a68975dc1dabf02,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,427,427,a337d6ea804783314cf5870646e38e6323670b63,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,delete()V,NO_FIELD,fixed
B,DE_MIGHT_IGNORE,3,19,commons-fileupload,aff9622ce2b96878abe9b0b5ed7cadda3071886c,200fb582be0999d3f286e33a64db3459f38ff798,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,369,369,1a01d4b321351ddc8b0cabafe09aa1e96ae7f08d,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,fixed
I,DM_CONVERT_CASE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,6d72b589410cc58838fd57099f6fe59802188247,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,515,515,d6c43958ad27b930ad24364471177ad925b0cf8a,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,getFieldName(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,fixed
