categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,105,105,,,NO_METHOD,mavenProjectBuilder,unfixed,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractResolveMojo,1.0,1.0,1.0,1.0,24.0,1.0,10.0,12.0,1.0,0.0,0.0,4.0,-1,0.0,0.0,-1,-1,-1,2.0,2.0,2.0,29.0,0.0,0.0,2.0,0.0,-1,75.0,4.0,27.0,15.0,10.0,44.0,-1,-1,-1,11.0,14.0,10.0,4.0,-1,-1,-1,-1,-1,2.0,2.0,2.0,1.0,-1,4.0,1.0,-1,75.0,75.0,1.63,3.0,3.0,3.0,2.0
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,18,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,172,172,,,checkDependencyManagement()Z,NO_FIELD,unfixed,Private Method,org.apache.maven.plugin.dependency.AnalyzeDepMgt.checkDependencyManagement,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,82.0,12.0,58.0,18.0,38.0,12.0,25.0,66.0,2.0,28.0,36.0,17.0,19.0,8.0,8.0,9.0,1.0,1.0,-1,-1,-1,-1,0.0,-1,2.0,0.0,-1,-1,0.21,8.0,8.0,9.0,1.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,121,121,,,checkDependencyManagement()Z,project,unfixed,Private Method,org.apache.maven.plugin.dependency.AnalyzeDepMgt.checkDependencyManagement,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,82.0,12.0,58.0,18.0,38.0,12.0,25.0,66.0,2.0,28.0,36.0,17.0,19.0,8.0,8.0,9.0,1.0,1.0,-1,-1,-1,-1,0.0,-1,2.0,0.0,-1,-1,0.21,8.0,8.0,9.0,1.0
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,NO_FIELD,unfixed,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,22.0,3.0,19.0,3.0,9.0,0.0,6.0,4.0,1.0,6.0,10.0,2.0,8.0,4.0,4.0,6.0,3.0,2.0,-1,-1,-1,-1,2.0,-1,1.0,2.0,-1,-1,0.0,4.0,4.0,6.0,3.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,2,20,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,NO_FIELD,unfixed,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,22.0,3.0,19.0,3.0,9.0,0.0,6.0,4.0,1.0,6.0,10.0,2.0,8.0,4.0,4.0,6.0,3.0,2.0,-1,-1,-1,-1,2.0,-1,1.0,2.0,-1,-1,0.0,4.0,4.0,6.0,3.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,NO_METHOD,project,unfixed,Public Class,org.apache.maven.plugin.dependency.AnalyzeDuplicateMojo,7.0,7.0,8.0,1.0,44.0,5.0,39.0,0.0,1.0,0.0,0.0,0.0,-1,0.0,0.0,-1,-1,-1,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,-1,112.0,12.0,83.0,15.0,41.0,17.0,-1,-1,-1,31.0,44.0,16.0,28.0,-1,-1,-1,-1,-1,13.0,13.0,14.0,1.0,-1,2.0,4.0,-1,50.0,50.0,0.2,15.0,15.0,16.0,2.0
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,project,unfixed,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,22.0,3.0,19.0,3.0,9.0,0.0,6.0,4.0,1.0,6.0,10.0,2.0,8.0,4.0,4.0,6.0,3.0,2.0,-1,-1,-1,-1,2.0,-1,1.0,2.0,-1,-1,0.0,4.0,4.0,6.0,3.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,178,178,,,NO_METHOD,siteRenderer,unfixed,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1.0,1.0,1.0,1.0,8.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,-1,0.0,0.0,-1,-1,-1,8.0,4.0,8.0,8.0,0.0,0.0,4.0,4.0,-1,159.0,21.0,63.0,18.0,23.0,75.0,-1,-1,-1,23.0,35.0,17.0,18.0,-1,-1,-1,-1,-1,4.0,4.0,5.0,3.0,-1,2.0,1.0,-1,81.0,81.0,1.19,11.0,11.0,12.0,10.0
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,111,111,,,executeReport(Ljava/util/Locale;)V,analyzer,unfixed,Public Method,org.apache.maven.plugin.dependency.AnalyzeReportMojo.executeReport,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,34.0,4.0,26.0,5.0,15.0,4.0,9.0,4.0,1.0,11.0,15.0,5.0,10.0,4.0,4.0,5.0,3.0,3.0,-1,-1,-1,-1,2.0,-1,1.0,2.0,-1,-1,0.15,4.0,4.0,5.0,3.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,101,101,,,NO_METHOD,outputDirectory,unfixed,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1.0,1.0,1.0,1.0,8.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,-1,0.0,0.0,-1,-1,-1,8.0,4.0,8.0,8.0,0.0,0.0,4.0,4.0,-1,159.0,21.0,63.0,18.0,23.0,75.0,-1,-1,-1,23.0,35.0,17.0,18.0,-1,-1,-1,-1,-1,4.0,4.0,5.0,3.0,-1,2.0,1.0,-1,81.0,81.0,1.19,11.0,11.0,12.0,10.0
