category,average,median,density
BAD_PRACTICE,539.5,272.5,0.02768166089965398
CORRECTNESS,1146.3333333333333,1127.0,0.13043478260869565
DODGY_CODE,626.4444444444445,282.0,0.04909090909090909
EXPERIMENTAL,5.0,5.0,0.1111111111111111
I18N,742.4,270.0,0.011185682326621925
MALICIOUS_CODE,35.875,2.5,0.05228758169934641
Multithreaded correctness,8.333333333333334,10.0,0.024793388429752067
PERFORMANCE,779.25,402.5,0.12903225806451613
