categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,4ca6aa3f287b1765cc1532f5fadc01b145911a61,src/main/java/org/apache/commons/net/smtp/SMTPSClient.java,189,189,65302de24316b21a3955265203c60cf663067743,src/main/java/org/apache/commons/net/smtp/SMTPSClient.java,performSSLNegotiation()V,NO_FIELD,unfixed,550,0,19,57,FP,FP,FP
DODGY_CODE,DLS_DEAD_LOCAL_STORE,2,17,commons-net,a0973e365922027c7035adfad827d43485d29120,ab45bdb289e3929d71501008099c0e890653d7ab,src/main/java/org/apache/commons/net/nntp/Threader.java,111,111,41e514cda5f68c444edc1058a18e2196b2c1d7d5,src/main/java/org/apache/commons/net/nntp/Threader.java,buildContainer(Lorg/apache/commons/net/nntp/Threadable;Ljava/util/HashMap;)V,NO_FIELD,fixed,2271,4,12,134,TP,TP,TP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,b21c46d641c1533da385ab341162bb3fe5883c41,src/main/java/org/apache/commons/net/nntp/Threader.java,287,287,1f8cfe7d2b2306384243cae9a45de523f4e0a8f8,src/main/java/org/apache/commons/net/nntp/Threader.java,gatherSubjects()V,root,fixed,275,9,24,134,TP,TP,TP
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,3,20,commons-net,2b248a62e4148b5f92ec7c8d10a7eac1184bb015,ae6392f4c58c2d24e24903a86ad8c90150b084f3,src/main/java/org/apache/commons/net/pop3/POP3.java,340,340,abade9f2256982796dc4f561795e4f487cab7db1,src/main/java/org/apache/commons/net/pop3/POP3.java,<init>()V,NO_FIELD,fixed,1,0,0,0,TP,TP,TP
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,3,20,commons-net,12c952df0694b3df19d02a0fc072d5d1910b0a63,969071d0da795b74b7dc5820d2926cb5e80f1c7f,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,-1,-1,4f80a4661419a8fb93e6ccefa3593d78405c7bf8,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,NO_METHOD,PROVIDER,fixed,5,16,16,136,TP,TP,TP
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,3,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,3c01bfaa968514749d54218f910563ac19d970cf,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,218,218,d28e5f09f0f4128a716ff91d4919e775f4888179,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,NO_FIELD,unfixed,2312,20,23,23,FP,FP,FP
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,720442a947bdb0c49bfaf6788059b274dd6d0edb,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,113,113,d0af24cdff2aecc9c63affbb395759d8ab44aee4,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,tunnelHandshake(Ljava/lang/String;ILjava/io/InputStream;Ljava/io/OutputStream;)V,NO_FIELD,unfixed,270,9,11,32,FP,FP,FP
Multithreaded correctness,WA_NOT_IN_LOOP,3,17,commons-net,c2ceeda2055ecfa02ff7dd44ee2db0625fba246f,011f0702f9048e0e43757dba9adb05c90dd11cb0,src/main/java/org/apache/commons/net/telnet/Telnet.java,1115,1115,393d38e08ec3dd2bd83532ef6aa19a08d446d57f,src/main/java/org/apache/commons/net/telnet/Telnet.java,_sendAYT(J)Z,NO_FIELD,unfixed,5,1,21,34,FP,FP,FP
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-net,65302de24316b21a3955265203c60cf663067743,01b000d3efeaa2a8df3a1ef4837602c9605c1d3e,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,269,269,3014ff9a8818e7aca98719574f25f2949b46b83a,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,sslNegotiation()V,NO_FIELD,fixed,1762,9,21,136,TP,TP,TP
BAD_PRACTICE,IMSE_DONT_CATCH_IMSE,1,14,commons-net,c2ceeda2055ecfa02ff7dd44ee2db0625fba246f,011f0702f9048e0e43757dba9adb05c90dd11cb0,src/main/java/org/apache/commons/net/telnet/Telnet.java,1126,1126,393d38e08ec3dd2bd83532ef6aa19a08d446d57f,src/main/java/org/apache/commons/net/telnet/Telnet.java,_sendAYT(J)Z,NO_FIELD,fixed,5,1,21,34,TP,TP,TP
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,4ca6aa3f287b1765cc1532f5fadc01b145911a61,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,254,254,65302de24316b21a3955265203c60cf663067743,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,sslNegotiation()V,NO_FIELD,unfixed,550,1,21,136,FP,FP,FP
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,4ca6aa3f287b1765cc1532f5fadc01b145911a61,src/main/java/org/apache/commons/net/pop3/POP3SClient.java,200,200,65302de24316b21a3955265203c60cf663067743,src/main/java/org/apache/commons/net/pop3/POP3SClient.java,performSSLNegotiation()V,NO_FIELD,unfixed,550,2,19,58,FP,FP,FP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,b8ecb3f9fab3350ac9fbf2c0585932a804483c36,src/main/java/org/apache/commons/net/nntp/Threader.java,103,103,a0973e365922027c7035adfad827d43485d29120,src/main/java/org/apache/commons/net/nntp/Threader.java,buildContainer(Lorg/apache/commons/net/nntp/Threadable;)V,idTable,fixed,41,2,22,134,TP,TP,TP
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,3,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,ab45bdb289e3929d71501008099c0e890653d7ab,src/main/java/org/apache/commons/net/ftp/FTPClient.java,666,666,41e514cda5f68c444edc1058a18e2196b2c1d7d5,src/main/java/org/apache/commons/net/ftp/FTPClient.java,_storeFile(Ljava/lang/String;Ljava/lang/String;Ljava/io/InputStream;)Z,NO_FIELD,unfixed,2312,6,7,84,FP,FP,FP
I18N,DM_CONVERT_CASE,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,ab45bdb289e3929d71501008099c0e890653d7ab,src/main/java/org/apache/commons/net/ftp/parser/OS400FTPEntryParser.java,338,338,41e514cda5f68c444edc1058a18e2196b2c1d7d5,src/main/java/org/apache/commons/net/ftp/parser/OS400FTPEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,NO_FIELD,fixed,2312,7,7,7,TP,TP,TP
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,3,20,commons-net,e9d4d2b54e640897e3d12da30904d1c8c4b6a672,26bc12904f3b5d08e6238490607d98795a802ec8,src/main/java/org/apache/commons/net/ftp/parser/MLSxEntryParser.java,190,191,b0fa10294a77cec001214a4236b5ca440730368d,src/main/java/org/apache/commons/net/ftp/parser/MLSxEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,NO_FIELD,unfixed,2,0,1,39,FP,FP,FP
CORRECTNESS,UWF_NULL_FIELD,3,15,commons-net,5cf11219eed630818a4ec33da3aa78486e02ee5b,72e2cda2f031bccb6cba1547981fba70f5d34327,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,68,68,f57b0881bcc8733ea6b3e47e7345913b0662f03c,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,NO_METHOD,charset,fixed,0,0,0,32,TP,TP,TP
