file,unknown,fixed,disappear,unfixed
src/main/java/org/apache/commons/net/smtp/SMTP.java,,1,,
src/main/java/org/apache/commons/net/smtp/SMTPSClient.java,,1,,57
src/main/java/org/apache/commons/net/telnet/EchoOptionHandler.java,,3,,33
src/main/java/org/apache/commons/net/telnet/SimpleOptionHandler.java,,3,,33
src/main/java/org/apache/commons/net/telnet/SuppressGAOptionHandler.java,,3,,33
src/main/java/org/apache/commons/net/telnet/Telnet.java,,3,,32
src/main/java/org/apache/commons/net/telnet/TelnetClient.java,1,,,3
src/main/java/org/apache/commons/net/telnet/TelnetInputStream.java,,,,114
src/main/java/org/apache/commons/net/telnet/TelnetOptionHandler.java,,,,24
src/main/java/org/apache/commons/net/telnet/TelnetOutputStream.java,,,,1
src/main/java/org/apache/commons/net/telnet/TerminalTypeOptionHandler.java,,2,,41
src/main/java/org/apache/commons/net/telnet/WindowSizeOptionHandler.java,,2,,22
src/main/java/org/apache/commons/net/tftp/TFTPClient.java,,2,,16
src/main/java/org/apache/commons/net/tftp/TFTPDataPacket.java,3,,,9
src/main/java/org/apache/commons/net/tftp/TFTPErrorPacket.java,,,,38
src/main/java/org/apache/commons/net/tftp/TFTPPacket.java,2,,,6
src/main/java/org/apache/commons/net/tftp/TFTPRequestPacket.java,,,,38
src/main/java/org/apache/commons/net/util/Base64.java,,,,118
src/main/java/org/apache/commons/net/util/KeyManagerUtils.java,,1,,19
src/main/java/org/apache/commons/net/util/ListenerList.java,,,,18
src/main/java/org/apache/commons/net/util/SSLSocketUtils.java,,,,8
src/main/java/org/apache/commons/net/util/SubnetUtils.java,,,,8
src/main/java/org/apache/commons/net/util/TrustManagerUtils.java,,1,,
