method,unknown,fixed,disappear,unfixed
createConfiguration(Lorg/xml/sax/Attributes;)Lorg/apache/commons/configuration/FileConfiguration;,,,,48
createEventWithChangedSource(Lorg/apache/commons/configuration/builder/ConfigurationBuilderEvent;)Lorg/apache/commons/configuration/builder/ConfigurationBuilderEvent;,,,,1
createEventWithChangedSource(Lorg/apache/commons/configuration2/builder/ConfigurationBuilderEvent;)Lorg/apache/commons/configuration2/builder/ConfigurationBuilderEvent;,,1,,21
createNodePointer(Lorg/apache/commons/jxpath/ri/model/NodePointer;Lorg/apache/commons/jxpath/ri/QName;Ljava/lang/Object;)Lorg/apache/commons/jxpath/ri/model/NodePointer;,,2,,31
createPath(Ljava/io/File;)V,,3,,43
createReloadingStrategy()Lorg/apache/commons/configuration/reloading/ReloadingStrategy;,,,,15
createReloadingStrategy()Lorg/apache/commons/configuration2/reloading/ReloadingStrategy;,,,,3
createStatement(Ljava/lang/String;Z)Ljava/sql/PreparedStatement;,,,,32
decodeBase64(Ljava/lang/String;)[B,,,,8
defensiveCopy([Ljava/lang/Object;)[Ljava/lang/Object;,,,,15
doParseProperty(Ljava/lang/String;)[Ljava/lang/String;,,1,,6
dump(Lorg/apache/commons/configuration/Configuration;Ljava/io/PrintStream;)V,,,,32
dump(Lorg/apache/commons/configuration2/Configuration;Ljava/io/PrintStream;)V,,,,18
dump(Lorg/apache/commons/configuration2/ImmutableConfiguration;Ljava/io/PrintStream;)V,,,,11
endElement(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,,1,,
extractProperties15()V,1,,,7
filterData(Ljava/lang/String;)[B,,,,21
findTextNodeForUpdate(Lorg/w3c/dom/Element;)Lorg/w3c/dom/Text;,,,,1
getAdditionalBeanInfo()[Ljava/beans/BeanInfo;,,,,8
getByte(Ljava/lang/String;B)B,,1,,25
getConfiguration()Lorg/apache/commons/configuration/AbstractHierarchicalFileConfiguration;,,,,10
getConfiguration()Lorg/apache/commons/configuration2/AbstractHierarchicalFileConfiguration;,,2,,4
getConfiguration()Lorg/apache/commons/configuration2/CombinedConfiguration;,,,,10
getConfigurations()[Lorg/apache/commons/configuration2/Configuration;,,1,,
getCurrentConfig()Lorg/apache/commons/configuration/CombinedConfiguration;,,1,,6
