categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,location_count,method_count,file_count,life_time,mark-vtype,mark-category,mark-all
DODGY_CODE,CI_CONFUSED_INHERITANCE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,2df4331719594c4cbad6cff610c54f30cb20a0cb,src/main/java/org/apache/commons/fileupload/util/mime/Base64Decoder.java,-1,-1,21f303464545dfb9693a368ec227e579eea1375f,src/main/java/org/apache/commons/fileupload/util/mime/Base64Decoder.java,NO_METHOD,padding,unfixed,0,0,0,0,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,53b10a93934dff4331a40cdbfffc1928bcef4ff5,684984971e95ac0dff142934323d02df77168126,src/java/org/apache/commons/fileupload/FileUploadBase.java,453,453,854c658ecfb665c8483abc5da4b2c86af9209c8a,src/java/org/apache/commons/fileupload/FileUploadBase.java,parseHeaders(Ljava/lang/String;)Ljava/util/Map;,NO_FIELD,unfixed,0,15,165,3,TP,TP,TP
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,5c2302bbf3859aabf3a719285237f6d0773612b2,190a63505aa28c33d540f2bfd1ab778aa89e2a16,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,406,406,25a6612b77692c0c2bb4a22c796b0fd8054331d1,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,write(Ljava/io/File;)V,NO_FIELD,fixed,0,0,16,68,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,5cfdf5d260f0496de1c1bafe417494b212ab6c79,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,359,359,3095f8726304fa370ea336063a487f1292a9d990,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,getString()Ljava/lang/String;,NO_FIELD,unfixed,4,7,16,5,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,1ac8c617896b5dd0e1900dbe3ffd4cf165c6ad1b,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,308,308,1c732d7ed34fa025327eeb6a2f3b7a6647d408a7,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,get()[B,cachedContent,fixed,2,3,16,2,TP,TP,TP
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,b5f003d88222058067de8e131a68975dc1dabf02,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,427,427,a337d6ea804783314cf5870646e38e6323670b63,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,delete()V,NO_FIELD,fixed,0,1,16,458,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,6d72b589410cc58838fd57099f6fe59802188247,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,515,515,d6c43958ad27b930ad24364471177ad925b0cf8a,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,getFieldName(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,fixed,0,2,65,2,TP,TP,TP
PERFORMANCE,UUF_UNUSED_FIELD,2,18,commons-fileupload,02f6b2c4ef9aebf9cf8e55de8b90e73430b69385,c7b2f8baa20ced9cbbb0e5c31e5edd44a04da963,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,-1,-1,414ae63a22b802a5cc177ec6c7b895b2d78e7ae9,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,NO_METHOD,dfosFile,fixed,1,1,47,102,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,32eade4883d367a2103ea9a0be68f057604adb37,src/main/java/org/apache/commons/fileupload2/ParameterParser.java,302,302,b27fca22a365bc9449f9c7d1052965d0a6b71046,src/main/java/org/apache/commons/fileupload2/ParameterParser.java,parse([CIIC)Ljava/util/Map;,chars,fixed,3,3,3,2,TP,TP,TP
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,2,18,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,ad2876c0bfd77891d943be19cdc36666ea441be2,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,639,639,d71d7a789aa300a632bd9b292ddd70e19403f382,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,parseHeaders(Ljava/lang/String;)Ljava/util/Map;,NO_FIELD,fixed,0,0,65,1827,TP,TP,TP
CORRECTNESS,SIO_SUPERFLUOUS_INSTANCEOF,3,10,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,deabeaf7d952498212bfbac019a2bc03c96466fa,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,354,354,c8a7ee51467a248436eb41e02fbeb7a60e9c11bb,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,fixed,0,15,65,1,TP,TP,TP
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,99bb8565914c06ebdd777e5ec1d7c8925fba0bac,53b10a93934dff4331a40cdbfffc1928bcef4ff5,src/java/org/apache/commons/fileupload/MultipartStream.java,133,133,7d3865ccc773905b3b94790cf134e6ca2c5b217c,src/java/org/apache/commons/fileupload/MultipartStream.java,NO_METHOD,FIELD_SEPARATOR,unfixed,0,51,87,4,TP,TP,TP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,4684c3fa9e920df84f3b0e1d355e71a1db3a5104,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,81,81,076e8552ebf9294a4e5ddf27d7c684b1a2ef0e5f,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,NO_METHOD,cachedCharacter,fixed,0,9,9,1,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,1c732d7ed34fa025327eeb6a2f3b7a6647d408a7,b5f003d88222058067de8e131a68975dc1dabf02,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,358,358,a337d6ea804783314cf5870646e38e6323670b63,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,getString()Ljava/lang/String;,NO_FIELD,fixed,4,7,16,456,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,b53957e2bf180e9c5ffddb2a11020b0c17a3b10a,fdf011a5f9a15826771b19cdd6795b247b0bc3e4,src/java/org/apache/commons/fileupload/FileUploadBase.java,626,626,4ed6e923cb2033272fcb993978d69e325990a5aa,src/java/org/apache/commons/fileupload/FileUploadBase.java,<init>(Lorg/apache/commons/fileupload/FileUploadBase;Lorg/apache/commons/fileupload/RequestContext;)V,NO_FIELD,unfixed,1,14,165,14,TP,TP,TP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,4684c3fa9e920df84f3b0e1d355e71a1db3a5104,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,103,103,076e8552ebf9294a4e5ddf27d7c684b1a2ef0e5f,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,NO_METHOD,lineLength,fixed,1,9,9,1,TP,TP,TP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,4684c3fa9e920df84f3b0e1d355e71a1db3a5104,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,76,76,076e8552ebf9294a4e5ddf27d7c684b1a2ef0e5f,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,NO_METHOD,deferredWhitespace,fixed,0,9,9,1,TP,TP,TP
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-fileupload,99bb8565914c06ebdd777e5ec1d7c8925fba0bac,5c03ce43d32993ad56f9fc67ac94bdca53668ac5,src/java/org/apache/commons/fileupload/FileUploadBase.java,307,307,684984971e95ac0dff142934323d02df77168126,src/java/org/apache/commons/fileupload/FileUploadBase.java,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,unfixed,0,14,165,4,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,6d72b589410cc58838fd57099f6fe59802188247,src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,88,88,d6c43958ad27b930ad24364471177ad925b0cf8a,src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,addHeader(Ljava/lang/String;Ljava/lang/String;)V,NO_FIELD,fixed,2,2,7,2,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,d2852acc07d8b23462b9d310e3613dd2d19d66a6,33ffd1b749922d566c64668790fcae010ba6590e,src/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,55,55,292aa867e831bc4fad5a5cdd4e70382c2f66bc66,src/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,getHeader(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,1,6,20,59,TP,TP,TP
CORRECTNESS,UWF_UNWRITTEN_FIELD,3,15,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,de1a19730600bd295a9f2c5c3bf83b0d0c20dc32,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,885,885,e0bfe29d200975e78982db4b276829c4318100e1,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,NO_METHOD,opened,fixed,0,1,16,2384,TP,TP,TP
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,d5181b71d90abfed17b74ac17b488c1e4a3bc769,src/main/java/org/apache/commons/fileupload/MultipartStream.java,200,200,ff8c1297703e8cb59e03ad75e57ce7b78a8e20f6,src/main/java/org/apache/commons/fileupload/MultipartStream.java,NO_METHOD,BOUNDARY_PREFIX,unfixed,7,31,49,1827,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,1ac8c617896b5dd0e1900dbe3ffd4cf165c6ad1b,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,359,359,1c732d7ed34fa025327eeb6a2f3b7a6647d408a7,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,getString()Ljava/lang/String;,NO_FIELD,unfixed,4,7,16,2,TP,TP,TP
BAD_PRACTICE,SE_NO_SERIALVERSIONID,3,19,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,4f7b9964147524bcc0fd4adbf047087d4238fdea,src/main/java/org/apache/commons/fileupload/DefaultFileItem.java,75,77,a1db4bac865a2d83fc3fdb1ff2c887e83fc4429d,src/main/java/org/apache/commons/fileupload/DefaultFileItem.java,NO_METHOD,NO_FIELD,unfixed,0,0,0,1826,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,5cfdf5d260f0496de1c1bafe417494b212ab6c79,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,308,308,3095f8726304fa370ea336063a487f1292a9d990,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,get()[B,cachedContent,fixed,2,3,16,5,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,06357585199fe659d9cc4914d04279bb6d5d18ec,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,429,429,e25b70889f2f0d8563f90f50bdc388d2536b3cc8,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,getBoundary(Ljava/lang/String;)[B,NO_FIELD,fixed,2,8,16,2965,TP,TP,TP
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,3,19,commons-fileupload,31cd7c4d03e46ff8dea163f84d34f9ddc174d952,382e958e43653fd9ad42ee6aee7135df58284a98,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,673,673,fd89b7d76f6ceee9234c45fa90d146147c29ca92,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,readObject(Ljava/io/ObjectInputStream;)V,NO_FIELD,unfixed,0,10,47,93,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,6d72b589410cc58838fd57099f6fe59802188247,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,1036,1036,d6c43958ad27b930ad24364471177ad925b0cf8a,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,findNextItem()Z,NO_FIELD,fixed,0,2,65,2,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,6d72b589410cc58838fd57099f6fe59802188247,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,472,472,d6c43958ad27b930ad24364471177ad925b0cf8a,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,getFileName(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,fixed,0,2,65,2,TP,TP,TP
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-fileupload,99bb8565914c06ebdd777e5ec1d7c8925fba0bac,5c03ce43d32993ad56f9fc67ac94bdca53668ac5,src/java/org/apache/commons/fileupload/FileUploadBase.java,590,590,684984971e95ac0dff142934323d02df77168126,src/java/org/apache/commons/fileupload/FileUploadBase.java,<init>(Lorg/apache/commons/fileupload/FileUploadBase;Lorg/apache/commons/fileupload/RequestContext;)V,NO_FIELD,unfixed,0,14,165,4,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,1b10014dddf12527f8dbad24169e4f6a9434e8c5,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,426,426,5d3e1d8f4eafd654dec3e0ece71940597239a5e9,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,getBoundary(Ljava/lang/String;)[B,NO_FIELD,fixed,1,8,16,2965,TP,TP,TP
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,149d38d7c1ff0e9f934774c7ad29eba0667d0d8a,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,423,423,5b4060f9936a985444482db91cc4c5828ca7fdee,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,getBoundary(Ljava/lang/String;)[B,NO_FIELD,fixed,3,8,16,2965,TP,TP,TP
BAD_PRACTICE,RR_NOT_CHECKED,2,16,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,420294e086413e3bf63cfeb66dd3b2d14062cc85,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,315,315,7c28b13be7e4af455811480a4c32825113cdae71,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,get()[B,NO_FIELD,fixed,6,13,47,338,TP,TP,TP
CORRECTNESS,NP_NULL_PARAM_DEREF_NONVIRTUAL,1,6,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,1790c7718a6cf01ab804a9f7c2d61a21029a7ffd,src/main/java/org/apache/commons/fileupload/MultipartStream.java,276,276,8f1d39d0d8c8e52209864e4a1caf42d9614c0662,src/main/java/org/apache/commons/fileupload/MultipartStream.java,<init>()V,NO_FIELD,unfixed,3,3,49,329,TP,TP,TP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,4684c3fa9e920df84f3b0e1d355e71a1db3a5104,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,61,61,076e8552ebf9294a4e5ddf27d7c684b1a2ef0e5f,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,NO_METHOD,bytesWritten,fixed,0,9,9,1,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,5cfdf5d260f0496de1c1bafe417494b212ab6c79,src/main/java/org/apache/commons/fileupload2/ParameterParser.java,302,302,3095f8726304fa370ea336063a487f1292a9d990,src/main/java/org/apache/commons/fileupload2/ParameterParser.java,parse([CIIC)Ljava/util/Map;,chars,fixed,3,3,3,5,TP,TP,TP
CORRECTNESS,UWF_UNWRITTEN_FIELD,3,15,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,b1bd00e57a60201cd4c7ad724281c3e2ca629312,src/main/java/org/apache/commons/fileupload2/impl/FileItemStreamImpl.java,192,192,6496a602348098152b2a758fcc5cc266a61472aa,src/main/java/org/apache/commons/fileupload2/impl/FileItemStreamImpl.java,NO_METHOD,opened,fixed,0,1,1,125,TP,TP,TP
DODGY_CODE,CI_CONFUSED_INHERITANCE,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,463d924676260dc69427df0c8917f9072a54bd4e,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,-1,-1,679cdb28050b758ef8a76d05af004c3663beae49,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,NO_METHOD,ENCODING_TABLE,fixed,1,9,9,1,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,99bb8565914c06ebdd777e5ec1d7c8925fba0bac,e0cd673dcdf6b351d3f85c57f6679fa74f76b410,src/java/org/apache/commons/fileupload/FileUploadBase.java,459,459,53b10a93934dff4331a40cdbfffc1928bcef4ff5,src/java/org/apache/commons/fileupload/FileUploadBase.java,parseHeaders(Ljava/lang/String;)Ljava/util/Map;,NO_FIELD,unfixed,0,15,165,2,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,b53957e2bf180e9c5ffddb2a11020b0c17a3b10a,fdf011a5f9a15826771b19cdd6795b247b0bc3e4,src/java/org/apache/commons/fileupload/FileUploadBase.java,713,713,4ed6e923cb2033272fcb993978d69e325990a5aa,src/java/org/apache/commons/fileupload/FileUploadBase.java,findNextItem()Z,NO_FIELD,unfixed,1,13,165,14,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-fileupload,b33dda73d7f3eaeded6e592ed6b1e9c3c521743c,32eade4883d367a2103ea9a0be68f057604adb37,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,308,308,b27fca22a365bc9449f9c7d1052965d0a6b71046,src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,get()[B,cachedContent,fixed,2,3,16,2,TP,TP,TP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,4684c3fa9e920df84f3b0e1d355e71a1db3a5104,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,91,91,076e8552ebf9294a4e5ddf27d7c684b1a2ef0e5f,src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,NO_METHOD,lastWhitespace,fixed,0,9,9,1,TP,TP,TP
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,99bb8565914c06ebdd777e5ec1d7c8925fba0bac,53b10a93934dff4331a40cdbfffc1928bcef4ff5,src/java/org/apache/commons/fileupload/MultipartStream.java,141,141,7d3865ccc773905b3b94790cf134e6ca2c5b217c,src/java/org/apache/commons/fileupload/MultipartStream.java,NO_METHOD,STREAM_TERMINATOR,unfixed,0,51,87,4,TP,TP,TP
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,97b14cff6818a84b95ec427b4897b08c4e71a42c,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,423,423,6a9f8bbbaa0c43b78c2dd104b37ae5bba3743610,src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,getBoundary(Ljava/lang/String;)[B,NO_FIELD,unfixed,3,8,16,2961,TP,TP,TP
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,4c32be03e2c33dd1dcb22a9afb3e68e15c70ca34,420294e086413e3bf63cfeb66dd3b2d14062cc85,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,686,686,7c28b13be7e4af455811480a4c32825113cdae71,src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,readObject(Ljava/io/ObjectInputStream;)V,NO_FIELD,fixed,2,10,47,338,TP,TP,TP
DODGY_CODE,BC_VACUOUS_INSTANCEOF,2,17,commons-fileupload,9b294104bf817e3266f0be933d774c0f7e077a67,af99f77ce7bb01be4eef7b0cb339f71610c2a837,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,375,375,96c0cc44b1d0f570d9272e34b052c325c8c2d481,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,unfixed,0,15,65,720,TP,TP,TP
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,d5181b71d90abfed17b74ac17b488c1e4a3bc769,src/main/java/org/apache/commons/fileupload/MultipartStream.java,185,185,ff8c1297703e8cb59e03ad75e57ce7b78a8e20f6,src/main/java/org/apache/commons/fileupload/MultipartStream.java,NO_METHOD,FIELD_SEPARATOR,unfixed,0,31,49,1827,TP,TP,TP
