category,average,median,density
CORRECTNESS,93.0,93.0,0.07692307692307693
DODGY_CODE,36.0,1.0,0.05714285714285714
MALICIOUS_CODE,979.0,979.0,0.027777777777777776
PERFORMANCE,11.0,11.0,0.058823529411764705
Multithreaded correctness,0.0
BAD_PRACTICE,0.0
