C,NP_GUARANTEED_DEREF,2,8,commons-digester,b0db2fe8cb84ea18f1d6d3fec6843d9a07d41b13,569732547f45d01a5b3964f376442b8c7baf3c84,core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java,241,241,,,invoke()V,NO_FIELD,unknown
C,NP_GUARANTEED_DEREF,2,8,commons-digester,50f1d41302ca79d3242abc8d7a54a21a686cdeb7,50f1d41302ca79d3242abc8d7a54a21a686cdeb7,core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java,245,245,,,invoke()V,NO_FIELD,unknown
C,NP_GUARANTEED_DEREF,2,8,commons-digester,59d5e9cc17a5df75b3800e13da352f48d07ee7b1,59d5e9cc17a5df75b3800e13da352f48d07ee7b1,core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java,241,241,,,invoke()V,NO_FIELD,unknown
C,NP_GUARANTEED_DEREF,2,8,commons-digester,e9bc5fa1c09d8b00fd1d474d8380d3aa781a0a4b,e9bc5fa1c09d8b00fd1d474d8380d3aa781a0a4b,core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java,245,245,,,invoke()V,NO_FIELD,unknown
D,UC_USELESS_CONDITION,1,14,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/CallMethodRule.java,424,424,,,end(Ljava/lang/String;Ljava/lang/String;)V,NO_FIELD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/Digester.java,3035,3035,,,peekParams(I)[Ljava/lang/Object;,NO_FIELD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/Digester.java,3013,3013,,,peekParams()[Ljava/lang/Object;,NO_FIELD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/Digester.java,3072,3072,,,popParams()[Ljava/lang/Object;,NO_FIELD,
P,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/annotations/FromAnnotationsRuleModule.java,144,147,,,NO_METHOD,NO_FIELD,
P,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/annotations/FromAnnotationsRuleModule.java,134,137,,,NO_METHOD,NO_FIELD,
D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/annotations/FromAnnotationsRuleModule.java,113,113,,,bindRulesFrom(Ljava/lang/Class;)V,rulesBinder,
D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/annotations/FromAnnotationsRuleModule.java,246,246,,,handle(Ljava/lang/annotation/Annotation;Ljava/lang/reflect/AnnotatedElement;)V,rulesBinder,
P,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/annotations/FromAnnotationsRuleModule.java,125,128,,,NO_METHOD,NO_FIELD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/annotations/utils/AnnotationUtils.java,135,135,,,getAnnotationsArrayValue(Ljava/lang/annotation/Annotation;)[Ljava/lang/annotation/Annotation;,NO_FIELD,
C,NP_NULL_PARAM_DEREF,3,11,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/binder/FactoryCreateBuilder.java,156,156,,,createRule()Lorg/apache/commons/digester3/FactoryCreateRule;,type,
P,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,94fac6b113e3eff446696f3b6c18552f51d5fa82,src/main/java/org/apache/commons/digester3/plugins/strategies/LoaderFromStream.java,113,120,,,NO_METHOD,NO_FIELD,
