categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-all,mark-human,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,18,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,172,172,,,checkDependencyManagement()Z,NO_FIELD,unfixed,372,FP,,Private Method,org.apache.maven.plugin.dependency.AnalyzeDepMgt.checkDependencyManagement,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,82,12,58,18,38,12,25,66,2,28,36,17,19,8,8,9,1,1,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.21,8,8,9,1,4,10,11
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,121,121,,,checkDependencyManagement()Z,project,unfixed,372,FP,,Private Method,org.apache.maven.plugin.dependency.AnalyzeDepMgt.checkDependencyManagement,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,82,12,58,18,38,12,25,66,2,28,36,17,19,8,8,9,1,1,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.21,8,8,9,1,6,10,11
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,NO_FIELD,unfixed,326,FP,,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,7,7,10
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,2,20,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,NO_FIELD,unfixed,326,FP,,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,7,7,10
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,NO_METHOD,project,unfixed,326,FP,,Public Class,org.apache.maven.plugin.dependency.AnalyzeDuplicateMojo,7,7,8,1,44,5,39,0,1,0,0,0,-1,0,0,-1,-1,-1,2,1,2,2,0,1,0,1,-1,112,12,83,15,41,17,-1,-1,-1,31,44,16,28,-1,-1,-1,-1,-1,13,13,14,1,-1,2,4,-1,50,50,0.2,15,15,16,2,3,3,10
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,project,unfixed,326,FP,,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,7,7,10
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,178,178,,,NO_METHOD,siteRenderer,unfixed,372,FP,,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1,1,1,1,8,0,6,1,1,1,1,0,-1,0,0,-1,-1,-1,8,4,8,8,0,0,4,4,-1,159,21,63,18,23,75,-1,-1,-1,23,35,17,18,-1,-1,-1,-1,-1,4,4,5,3,-1,2,1,-1,81,81,1.19,11,11,12,10,2,8,14
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,111,111,,,executeReport(Ljava/util/Locale;)V,analyzer,unfixed,372,FP,,Public Method,org.apache.maven.plugin.dependency.AnalyzeReportMojo.executeReport,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,34,4,26,5,15,4,9,4,1,11,15,5,10,4,4,5,3,3,-1,-1,-1,-1,2,-1,1,2,-1,-1,0.15,4,4,5,3,2,4,14
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,101,101,,,NO_METHOD,outputDirectory,unfixed,372,FP,,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1,1,1,1,8,0,6,1,1,1,1,0,-1,0,0,-1,-1,-1,8,4,8,8,0,0,4,4,-1,159,21,63,18,23,75,-1,-1,-1,23,35,17,18,-1,-1,-1,-1,-1,4,4,5,3,-1,2,1,-1,81,81,1.19,11,11,12,10,2,8,14
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,111,111,,,NO_METHOD,analyzer,unfixed,372,FP,,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1,1,1,1,8,0,6,1,1,1,1,0,-1,0,0,-1,-1,-1,8,4,8,8,0,0,4,4,-1,159,21,63,18,23,75,-1,-1,-1,23,35,17,18,-1,-1,-1,-1,-1,4,4,5,3,-1,2,1,-1,81,81,1.19,11,11,12,10,2,8,14
