category,average,median,density
BAD_PRACTICE,493.5,398.0,0.06666666666666667
CORRECTNESS,568.8,125.0,0.09803921568627451
DODGY_CODE,596.3333333333334,2.0,0.19047619047619047
I18N,733.6538461538462,9.5,0.08469055374592833
MALICIOUS_CODE,524.4285714285714,4.0,0.08974358974358974
PERFORMANCE,630.3333333333334,58.0,0.17647058823529413
