categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-configuration,96a3921f80edd8751a288a2a57c2bd4f63b9a043,1a5fdcabe57feaf0098989cb7159309efb59a8d5,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,388,388,8c1ab0dbbe2ff8aa733fcfeca774ae0dacaa6ca8,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,isEmpty()Z,NO_FIELD,fixed,116,12,17,128,TP,TP,TP
Multithreaded correctness,IS2_INCONSISTENT_SYNC,2,17,commons-configuration,f0e0c6f782218264faeee9abd453b90a0d8289bb,f0e0c6f782218264faeee9abd453b90a0d8289bb,src/main/java/org/apache/commons/configuration/builder/combined/CombinedConfigurationBuilder.java,778,778,1e45d11c95a98c7c8001dcbcba3a605834eb5cbf,src/main/java/org/apache/commons/configuration/builder/combined/CombinedConfigurationBuilder.java,NO_METHOD,currentXMLParameters,unfixed,0,1,11,11,TP,TP,TP
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,321b6255fb626fb72e99c60f40424f20644d7586,src/main/java/org/apache/commons/configuration2/convert/PropertyConverter.java,323,323,1f44ef2bec5a7ea3198e0ec0ee9616a3d84400bc,src/main/java/org/apache/commons/configuration2/convert/PropertyConverter.java,toLong(Ljava/lang/Object;)Ljava/lang/Long;,NO_FIELD,fixed,210,4,4,73,TP,TP,TP
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-configuration,fba63a2cc736c95381d31c26c9f85b28ee4e0297,c85367ed7d145892a6926f8910872d72fe42775a,src/java/org/apache/commons/configuration/AbstractConfiguration.java,1253,1253,fde01a68ef771384d8b552c4418718c5d34fbbab,src/java/org/apache/commons/configuration/AbstractConfiguration.java,resolveContainerStore(Ljava/lang/String;)Ljava/lang/Object;,NO_FIELD,fixed,13,4,24,60,TP,TP,TP
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,5e6c50f762e5962382c3facbe638c0bae5e94382,5e6c50f762e5962382c3facbe638c0bae5e94382,src/main/java/org/apache/commons/configuration/io/FileLocatorUtils.java,494,494,b66ff17a80c4909609fdc6ae26ea756edfb2f788,src/main/java/org/apache/commons/configuration/io/FileLocatorUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,unfixed,0,44,173,173,TP,TP,TP
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,commons-configuration,98e189186f6a0a2b684911f162f0c8ec98a81c8d,b0839bd13fdb5aa663108883d96e71248ecdb680,src/main/java/org/apache/commons/configuration2/convert/PropertyConverter.java,769,769,5151c6a6df48e86151ddffd3638eed45a4cedd65,src/main/java/org/apache/commons/configuration2/convert/PropertyConverter.java,toInternetAddress(Ljava/lang/Object;)Ljava/lang/Object;,NO_FIELD,unfixed,170,6,21,73,TP,TP,TP
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-configuration,96a3921f80edd8751a288a2a57c2bd4f63b9a043,1a5fdcabe57feaf0098989cb7159309efb59a8d5,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,444,444,8c1ab0dbbe2ff8aa733fcfeca774ae0dacaa6ca8,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,containsKey(Ljava/lang/String;)Z,NO_FIELD,fixed,116,12,17,128,TP,TP,TP
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,commons-configuration,08f67d612fef14178aa5a3617c215eb23e0d98a8,5e826b61cae5778e077d7474b323e13de6e1fece,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,729,729,c96270c1ab7e5f2e7da77efa89fa34b400294b4a,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,NO_METHOD,resultSet,unfixed,1,8,8,128,TP,TP,TP
BAD_PRACTICE,SE_NO_SERIALVERSIONID,3,19,commons-configuration,62b28cff4ae93c871d86294ef36c77bd0a27a67d,c48f83b91e0ce9b4ce83f187039b80664d1c7e2f,src/main/java/org/apache/commons/configuration/PatternSubtreeConfigurationWrapper.java,68,524,b08d48b2d21968109ba71e74dfedb32a8d36ef2f,src/main/java/org/apache/commons/configuration/PatternSubtreeConfigurationWrapper.java,NO_METHOD,NO_FIELD,unfixed,24,4,15,28,TP,TP,TP
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,23863226ef3e085e77438d3e80df548461f8b42c,0851ff85fc86e9ee2d31a49eab552cf7b28941df,src/main/java/org/apache/commons/configuration/io/FileLocatorUtils.java,508,508,cd92c7d169681cef8b0d91e20a3347b7710c6279,src/main/java/org/apache/commons/configuration/io/FileLocatorUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,unfixed,3,2,173,173,TP,TP,TP
