category,average,median,density
BAD_PRACTICE,109.66666666666667,8.0,0.019966722129783693
CORRECTNESS,67.57142857142857,8.0,0.06818181818181818
DODGY_CODE,196.0344827586207,45.0,0.04387291981845688
EXPERIMENTAL,45.0,45.0,0.3333333333333333
I18N,362.6363636363636,120.0,0.10784313725490197
PERFORMANCE,316.55555555555554,85.0,0.05844155844155844
MALICIOUS_CODE,0.0
