categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
DODGY_CODE,RV_RETURN_VALUE_IGNORED_INFERRED,2,17,maven-dependency-plugin,af98e585a57d5405902b32a722f91a2073971cd5,075d2a526c6a4d5b5b24927d424d4b3675a4270e,src/main/java/org/apache/maven/plugins/dependency/tree/VerboseDependencyGraphBuilder.java,170,170,0bb33f222cbbe15d797a3a0c3f4017ac77d68315,src/main/java/org/apache/maven/plugins/dependency/tree/VerboseDependencyGraphBuilder.java,applyDependencyManagementDfs(Ljava/util/Map;Lorg/eclipse/aether/graph/DependencyNode;)V,NO_FIELD,unfixed,77,1,12,12,FP,FP,FP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,ea3da708150a3a30f6abb9b28ef0577e4514fabb,6790d3b5720e0fea98bf629c240ac755996f642c,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,154,154,fe66f40da1dbfaea3dd5fe41749e4ad7980f45f7,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,resolvePluginArtifacts()Ljava/util/Set;,resolver,unfixed,0,8,8,191,FP,FP,FP
DODGY_CODE,DLS_DEAD_LOCAL_STORE,3,20,maven-dependency-plugin,22887ed6f2aa04c2ccb79dd5c4a17cf6dc12d983,a0770c6286241339684f403bcbc440a97218caf8,src/main/java/org/apache/maven/plugin/dependency/utils/translators/ClassifierTypeTranslator.java,59,59,f085036d36192cb882388f545f115e353b98d88c,src/main/java/org/apache/maven/plugin/dependency/utils/translators/ClassifierTypeTranslator.java,translate(Ljava/util/Set;Lorg/apache/maven/plugin/logging/Log;)Ljava/util/Set;,NO_FIELD,fixed,111,12,31,35,TP,TP,TP
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,17,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,d06a09e42a15ab9fea6ff1b35755d16a6b6a89a5,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java,278,278,ea0eadc1ffb267142384e59e1e1f52cb47d1f83b,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java,fillMissingArtifactVersion(Lorg/apache/maven/plugin/dependency/fromConfiguration/ArtifactItem;)V,project,unfixed,45,1,1,83,FP,FP,FP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,ea3da708150a3a30f6abb9b28ef0577e4514fabb,6790d3b5720e0fea98bf629c240ac755996f642c,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,242,242,fe66f40da1dbfaea3dd5fe41749e4ad7980f45f7,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,getArtifact(Lorg/apache/maven/plugin/dependency/fromConfiguration/ArtifactItem;)Lorg/apache/maven/artifact/Artifact;,resolver,unfixed,0,7,23,191,FP,FP,FP
CORRECTNESS,NP_NULL_ON_SOME_PATH,2,8,maven-dependency-plugin,7158823c1fe3908f9d078189e9fa385af2402fd4,decd737d9b20d07b74cb6f45b4288ab2a88271cd,src/main/java/org/apache/maven/plugins/dependency/tree/TreeMojo.java,485,485,00e48787a8cd1b2d92d0d1f6034695d0f8bb61e5,src/main/java/org/apache/maven/plugins/dependency/tree/TreeMojo.java,containsVersion(Lorg/apache/maven/artifact/versioning/VersionRange;Lorg/apache/maven/artifact/versioning/ArtifactVersion;)Z,NO_FIELD,unfixed,1113,0,2,13,FP,FP,FP
PERFORMANCE,SS_SHOULD_BE_STATIC,2,18,maven-dependency-plugin,7d679c9f4ebc2d191997752d7e30b0e1df7957da,3ed0f503f4935191e6e6eeb2be498c96a05222f2,src/main/java/org/apache/maven/plugins/dependency/fromConfiguration/CopyMojo.java,61,61,6d895a4e846d9cdd4afa11a7f570c8013e8e4bb3,src/main/java/org/apache/maven/plugins/dependency/fromConfiguration/CopyMojo.java,NO_METHOD,prependGroupId,unfixed,25,0,23,23,FP,FP,FP
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,20,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,102,102,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,NO_METHOD,appendOutput,unfixed,32,0,30,45,FP,FP,FP
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,18,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,173,173,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,checkDependencyManagement()Z,NO_FIELD,fixed,32,4,21,23,TP,TP,TP
DODGY_CODE,UC_USELESS_OBJECT,2,17,maven-dependency-plugin,af98e585a57d5405902b32a722f91a2073971cd5,2dc1c7a9f037f338cd13b082fe2027c9bd729727,src/main/java/org/apache/maven/plugins/dependency/tree/TreeMojo.java,390,390,3ed0f503f4935191e6e6eeb2be498c96a05222f2,src/main/java/org/apache/maven/plugins/dependency/tree/TreeMojo.java,buildTree(Lorg/apache/maven/shared/dependency/graph/DependencyNode;Lorg/eclipse/aether/graph/DependencyNode;)Lorg/apache/maven/shared/dependency/graph/DependencyNode;,NO_FIELD,unfixed,396,9,10,13,FP,FP,FP
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,7158823c1fe3908f9d078189e9fa385af2402fd4,05ad8b8f2fc9c06fe76794ce03a428c395371564,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java,380,380,7309af7666c18553f5720facac3ec5a95ef18988,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java,readClasspathFile()Ljava/lang/String;,NO_FIELD,fixed,1146,0,4,80,TP,TP,TP
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,4aa7aff1085fea3dff674228aa129c1a7cd35f48,30e6197284363df69fc6b3b2657b1af10d39284b,src/main/java/org/apache/maven/plugin/dependency/TreeMojo.java,376,376,83653892db83851c8090a2c49c41f9a6b2e8d055,src/main/java/org/apache/maven/plugin/dependency/TreeMojo.java,NO_METHOD,includes,unfixed,51,1,2,12,FP,FP,FP
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,17,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/resolvers/ResolvePluginsMojo.java,178,178,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/resolvers/ResolvePluginsMojo.java,resolvePluginArtifacts()Ljava/util/Set;,project,unfixed,32,0,1,67,FP,FP,FP
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,maven-dependency-plugin,a59a97456dffe24c8a4b04c2a63f05736b8b504c,a59a97456dffe24c8a4b04c2a63f05736b8b504c,src/main/java/org/apache/maven/plugin/dependency/utils/markers/DefaultFileMarkerHandler.java,104,104,5bd8584406fd6de005302e7240825ee63d23efd6,src/main/java/org/apache/maven/plugin/dependency/utils/markers/DefaultFileMarkerHandler.java,setMarker()V,NO_FIELD,unfixed,0,23,71,71,FP,FP,FP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,ea3da708150a3a30f6abb9b28ef0577e4514fabb,6790d3b5720e0fea98bf629c240ac755996f642c,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,71,71,fe66f40da1dbfaea3dd5fe41749e4ad7980f45f7,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,resolveDependencyArtifacts(Lorg/apache/maven/project/MavenProject;)Ljava/util/Set;,resolver,unfixed,0,8,8,191,FP,FP,FP
DODGY_CODE,UC_USELESS_OBJECT,2,17,maven-dependency-plugin,7158823c1fe3908f9d078189e9fa385af2402fd4,23ce0867411688b382c6638a26c6817f6553a4fe,src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolvePluginsMojo.java,184,184,22843765f7eed523b9872c560d0aec6cead498ce,src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolvePluginsMojo.java,resolvePluginArtifacts()Ljava/util/Set;,NO_FIELD,unfixed,1025,2,25,50,FP,FP,FP
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,1,16,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,419,419,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,compare(Ljava/lang/Object;Ljava/lang/Object;)I,NO_FIELD,fixed,32,3,17,162,TP,TP,TP
