categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,src/main/java/org/apache/commons/codec/binary/Base64.java,334,351,5cd45cca92b4ba31d55f2e5d28aacf2a5d3fca22,src/main/java/org/apache/commons/codec/binary/Base64.java,encode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,NO_FIELD,fixed,1
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-codec,ce8a31b1ce8a1a555642b4e05387a5b6b414a688,df9d1bbcdf99349c471d934ab9df4cc7eae58c59,src/java/org/apache/commons/codec/binary/Base64.java,224,224,cad66447478d7d29bc04b3ce6a9049d6912c11b4,src/java/org/apache/commons/codec/binary/Base64.java,<init>(I[B)V,lineSeparator,fixed,17
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,3,20,commons-codec,effccf34b070dafe36e05a181d90d1969443fc0c,9ac451e968c2e582716af59c3c1a06208a9b213a,src/java/org/apache/commons/codec/binary/Base32.java,347,347,56730f9160d3917e180dcbdc2cf133e7a5da0b7f,src/java/org/apache/commons/codec/binary/Base32.java,encode([BII)V,modulus,fixed,0
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-codec,4075aa69bfff3d283fcf59ff371a3bcc43238b4e,981c0002d5accb9ebc056b7a34025fd814c4e17f,src/java/org/apache/commons/codec/language/RefinedSoundex.java,38,38,cb63f4a959e30de6882b20af10d189c7307a6da2,src/java/org/apache/commons/codec/language/RefinedSoundex.java,NO_METHOD,US_ENGLISH_MAPPING,fixed,387
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,e2df85024e2ab99645a788b4b2836ba1cfdb87f5,a870413801679ec8d0eefd97878a87bb2697ae5e,src/java/org/apache/commons/codec/binary/Base64.java,335,335,4d67ff229be56b150180cd6652d118075d171e05,src/java/org/apache/commons/codec/binary/Base64.java,<init>(I[BZ)V,NO_FIELD,fixed,398
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,2,18,commons-codec,1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1,b7d0dab28185046ffc64b8f36d231a2274b839c6,src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,308,308,ddc7143ed89a6c92bbafb89bbe8e1fc4937a878c,src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,applyFinalRules(Ljava/lang/String;Ljava/util/List;Ljava/util/Set;Z)Ljava/lang/String;,NO_FIELD,fixed,1
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,622088ba07b5b9452b73e2b2867549540e431732,src/main/java/org/apache/commons/codec/binary/Base32.java,321,350,0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,src/main/java/org/apache/commons/codec/binary/Base32.java,decode([BII)V,NO_FIELD,fixed,387
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-codec,4cc8b66909d3f530f8509785dfb958d71526f3f0,c86b5e26e0b9195f4928741b5b7dcd3d857f4de5,src/java/org/apache/commons/codec/language/RefinedSoundex.java,43,43,b0117669677f27a448c8fcafcd1430e2e0a5c3db,src/java/org/apache/commons/codec/language/RefinedSoundex.java,NO_METHOD,US_ENGLISH_MAPPING,fixed,0
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,16,commons-codec,4008ff9e49715f77cd6ac956b358160b7e416e69,03d62b63f1d8c6551d59893fd3f5dc1add6d3132,src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,142,142,fbefe56c0a41a1742872c9d0f624e5c32710ab4e,src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,sha2Crypt([BLjava/lang/String;Ljava/lang/String;ILjava/lang/String;)Ljava/lang/String;,NO_FIELD,fixed,14
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,cc6df030dd2bd4d8693f0b557f097ab3b321b18e,src/java/org/apache/commons/codec/digest/DigestUtils.java,473,473,25ad9f824aef478b61a774ed9402068ad215b23b,src/java/org/apache/commons/codec/digest/DigestUtils.java,sha512(Ljava/lang/String;)[B,NO_FIELD,fixed,10
